variable,value,count
candidate,'Franko' Frank O. Agbro,2
candidate,(Join) No,80
candidate,(Join) Yes,80
candidate,(Skip) Cameron Morehouse,89
candidate,(Terry) Teresa Stith,2
candidate,A C English,16
candidate,A Carolyn Fuller,4
candidate,"A J """"Tony"""" Smith",8
candidate,A J Mattila,1
candidate,A Lane Cribb,39
candidate,A. A. INGRAM,40
candidate,A. BOOKER,16
candidate,A. BRANCH,32
candidate,A. C. ROWE,8
candidate,A. CARTER,28
candidate,A. CHARLES,16
candidate,A. D. HUGUET,1384
candidate,A. D. PEACOCK,56
candidate,A. DIXON,16
candidate,A. E. FERDINAND,1384
candidate,A. E. SMITH,68
candidate,A. FIVEASH,44
candidate,A. FOSTER,8
candidate,A. GARDNER,4
candidate,A. GRISWELL,32
candidate,A. Gayle TROUTMAN,13
candidate,A. H. EVANS,24
candidate,A. HALL,12
candidate,A. HARRELL,44
candidate,A. HENDRICKS,20
candidate,A. HESTER,92
candidate,A. J. KIGHT,20
candidate,A. JORDAN,52
candidate,A. Jake Bauerly,5
candidate,A. Jamaal Lampkin,1
candidate,A. K. TYLER,8
candidate,A. Keith WATKINS,3
candidate,A. L. ANTHONY,24
candidate,A. L. BRADFORD,28
candidate,A. LANG,356
candidate,A. LEE,16
candidate,A. LEONARD,4
candidate,A. LOFTON,20
candidate,A. M. LUCAS,48
candidate,A. MCCOOK,8
candidate,A. MOORE,12
candidate,A. O. TONEY,1384
candidate,A. P. LAMPP,32
candidate,A. PAULK,44
candidate,A. PICKETT,4
candidate,A. Pancrazi Moreno,176
candidate,A. RASSI JR,20
candidate,A. ROBERTS HOLLOW,20
candidate,A. Russell Hughes,24
candidate,"A. S. EDWARDS, JR.",32
candidate,A. S. JACKSON,152
candidate,A. S. SMITH,4
candidate,A. S. WALSH,12
candidate,A. SAXON,4
candidate,A. SCOTT,364
candidate,A. T. MIDDLETON,40
candidate,A. THOMAS,40
candidate,A. TYSON,12
candidate,A. Tianna Scozzaro,2
candidate,A. W. BROWN,4
candidate,A. W. HUTTO,20
candidate,A. W. PADGETT,196
candidate,A. WALDEN,36
candidate,A. WALLACE-MCCOY,28
candidate,A. WATTERS,100
candidate,A. WEST,12
candidate,A. WHEELER,8
candidate,A. WHITTINGTON,8
candidate,A. WILLIAMS,116
candidate,A. WORSLEY,4
candidate,AARON L BISOGNO,63
candidate,ABRAHAM DISPENNETTE,17
candidate,ADAM M. GISSY,24
candidate,ADAMS C,88
candidate,"ADREON, RONNIE",14
candidate,AGAINST,38704
candidate,AGAINST APPROVAL OF PROPOSED ORDINANCE NO. 2016-01,4
candidate,AGAINST APPROVAL OF PROPOSED ORDINANCE NO. 2016-1,4
candidate,AGAINST CHANGING THE MILL LEVY FOR THE PRESTON HOT SPRINGS TOWN-COUNTY LIBRARY DISTRICT.,1
candidate,AGAINST CHANGING THE MILL LEVY OF THE PRESTON HOT SPRINGS TOWN-COUNTY LIBRARY DISTRICT.,1
candidate,AGAINST FOUR (4) YEAR TERM,10
candidate,AGAINST IMPOSING A NEW 3 MILLS ANNUALLY FOR THE LIVINGSTON-PARK COUNTY PUBLIC LIBRARY,11
candidate,AGAINST ISSUE NO. 1,1441
candidate,AGAINST ISSUE NO. 10,5
candidate,AGAINST ISSUE NO. 11,20
candidate,AGAINST ISSUE NO. 2,1441
candidate,AGAINST ISSUE NO. 3,1441
candidate,AGAINST ISSUE NO. 6,1441
candidate,AGAINST ISSUE NO. 8,5
candidate,AGAINST ISSUE NO. 9,5
candidate,AGAINST THE PROPOSITION - NO,2142
candidate,AGAINST adoption of tax,12
candidate,AGAINST annexation of the territory described in Ordinance No. 16-03,5
candidate,AGAINST the assessment and levy of,20
candidate,"AKINA, Keli'i",741
candidate,AL FELTON,8
candidate,AL G. AUSTIN,16
candidate,AL SMITH,28
candidate,ALAN GENTGES,18
candidate,ALBERT MCDONALD WEEKS,100
candidate,ALBERT STEVEN DIRADOUR,8
candidate,ALDERMAN ANDREA BEARDEN,5
candidate,ALDERMAN ANDY MULLINS,5
candidate,ALDERMAN DAN CHURCH,5
candidate,ALDERMAN JIM HUFF,4
candidate,ALDERMAN LONNY CHAPMAN,5
candidate,ALDERMAN LOUIS E. HOBBS,5
candidate,ALDERMAN MELISSA RATLIFF,5
candidate,ALDERMAN RENETT MCCRAW,12
candidate,ALDERMAN STEPHANIE BECK,5
candidate,ALDERWOMAN EDNA FAYE FUTCH,12
candidate,"ALEKSANDRA """"ALEX"""" GILLESPIE",3668
candidate,ALEX DUNLAP,8
candidate,ALEXANDER LONG IV,1
candidate,ALEXANDER PATRICK WHITE - NO,3668
candidate,ALEXANDER PATRICK WHITE - YES,3668
candidate,ALEXIS JIMENEZ,13
candidate,ALFONSO JOSEPH GRIEGO,11
candidate,ALFRED LEE COOK,3
candidate,ALFREDA JARRETT REYNOLDS,15
candidate,ALICE F. SMITH,80
candidate,ALICIA AGUILAR,5
candidate,ALICIA BEYER,2
candidate,ALICIA KAY EDWARDS,4
candidate,ALICIA NOWOTNY STEWART,88
candidate,ALICIA WAGNON,63
candidate,ALISON BEIRNE COLTRANE,4
candidate,ALISON C. CONLON,3668
candidate,"ALLAN, JUDITH ANN",9
candidate,"ALLEN ""BUDDY"" RAY",73
candidate,ALLEN F. MURPHY - NO,3668
candidate,ALLEN F. MURPHY - YES,3668
candidate,ALLEN SMITH,20
candidate,"ALLGEIER, BOB",8
candidate,AMAGON ALDERMAN POSITION 2-THEA ES,80
candidate,AMAGON ALDERMAN POSITION 3-LINDA E,80
candidate,AMAGON ALDERMAN POSITION 4-GLEN CA,80
candidate,AMAGON ALDERMAN POSITION 5-JIM ESK,80
candidate,AMANDA B CARDONA,9
candidate,AMELIA ETTA LIGHTNER,8
candidate,AMELIA NANCY ROSS-HAMMOND,100
candidate,AMY MARASCO NEWTON,3
candidate,AMY WOODS,17
candidate,ANA L MOORE,2
candidate,ANASTASIA A. PITTMAN,774
candidate,"ANDERSON, GERALD JERRY",2
candidate,ANDRA ALFRADO HIGGINBOTHAM,3
candidate,ANDREA RODRIGUEZ,12
candidate,ANDREAS Douglas ADDISON,11
candidate,ANDREW BAGLEY,41
candidate,ANDREW JASON RYAN,1
candidate,ANDREW M ANGEL,12
candidate,ANDREW MICHAEL BATMAN,3
candidate,ANDREW NORWOOD,45
candidate,"ANGELA """"ANGIE"""" L. BANKS",32
candidate,ANGELA KAREN WOODY,7
candidate,ANGELIA NICOLE ALLEN,33
candidate,ANGIE T. DAVIS,576
candidate,ANITA G WEST,10
candidate,ANN BISHOP,51
candidate,ANN FINLEY COLLINS - NO,3668
candidate,ANN FINLEY COLLINS - YES,3668
candidate,ANN TOOMBS NEWCOMB,3
candidate,ANNA DREW,1
candidate,ANNA HANSEN,12
candidate,ANNA LOFTUS,260
candidate,ANNA MARTINEZ,36
candidate,ANNA TRICIA HAMILTON,22
candidate,ANNE NOBILE,17
candidate,ANNETTE SMITH,3
candidate,ANTHONY BLEVINS,38
candidate,ANTHONY DEWAYNE WILEY,1
candidate,ANTHONY J MORA,6
candidate,ANTONIO L MAGGIORE,17
candidate,ANTONIO RAY MARTINEZ,6
candidate,"APALLA, Juno-Ann A.",48
candidate,"APOLIONA, Haunani",741
candidate,APPROVED,79
candidate,"AR CO Assessor, Regina Mannis, Rep",120
candidate,"AR CO Clerk, Melissa Wood, Democra",120
candidate,"AR CO Judge, Thomas E. Best, Democ",120
candidate,"AR CO Sheriff/Collector, Todd Wrig",120
candidate,"AR CO Treasurer, Charles A. Horton",120
candidate,"ARIN, Lisa R.",48
candidate,ARNETTE R. HUBBARD - NO,3668
candidate,ARNETTE R. HUBBARD - YES,3668
candidate,ARNOLD ISENBERG,42
candidate,"ARNOLD, BRAD",3
candidate,ASHLEY WRIGHT,536
candidate,ASSESSOR,276
candidate,"ASSESSOR KAREN HARDESTY - REP,",92
candidate,"ATAY, Alika",102
candidate,ATIBA HAKEEM MUSE,3
candidate,AUBREY WALKER BOGERT,3
candidate,AUDREY HARDING PAYNE,3
candidate,AUDREY ROSE CLEMENT,54
candidate,"AUSTIN, ROSEMARIE ROSIE",1
candidate,AVERY JOANNE H.,4
candidate,"AYALA, MIKE",41
candidate,Aaron Baer,1
candidate,Aaron C. Guckian,10
candidate,Aaron C. Smith,19
candidate,Aaron Chastain,35
candidate,Aaron D. Goldhamer,242
candidate,Aaron Donald Buchanan Jr.,3
candidate,Aaron Fleeman,13
candidate,Aaron HARDY,1
candidate,Aaron Harris,30
candidate,Aaron J Schumacher,92
candidate,Aaron J. Berlin,420
candidate,Aaron John Ley,18
candidate,Aaron Kester,223
candidate,Aaron L. Brewer,15
candidate,Aaron L. Brown,11
candidate,Aaron M. MOORE,6
candidate,Aaron Madison,45
candidate,Aaron P. Davis,124
candidate,Aaron Polkey,3
candidate,Aaron Prunty,2
candidate,Aaron Riggin,5
candidate,Aaron Uthoff,5
candidate,Aaron Viebrock,47
candidate,Aaron W. Dupuis,8
candidate,Aaron WALKER,86
candidate,Aaron WATSON,13
candidate,Abbigail NATION,2
candidate,"Abbott, Donald",72
candidate,Abdi Muse,15
candidate,Abel G. Collins,20
candidate,Abraham Clayman,1
candidate,"Absalom """"Ab"""" Jordan",1
candidate,Absentee/Military,208
candidate,Acasia Berry,1
candidate,Acqunetta Anderson,1
candidate,Ada Marie Clark,12
candidate,Adam D. FEINAUER,4
candidate,Adam Davis,8
candidate,Adam Elliott SCHULTZ,1
candidate,Adam Fire Cat,50
candidate,Adam GAINES,2
candidate,Adam Garvin,2
candidate,Adam Jones,1
candidate,Adam Keith,76
candidate,Adam L. TUBBS,6
candidate,Adam Lopez Falk,11
candidate,Adam M. Ramos,18
candidate,Adam Parkinson,31
candidate,Adam Roberts,2
candidate,Adam S. SULFRIDGE,7
candidate,Adam Schwend,1
candidate,Adam Shepherd,117
candidate,Adam Shimoni,130
candidate,Adam TOWNSEND,22
candidate,Adam Vanbuskirk,46
candidate,Adam Y. Gerol,52
candidate,Addie Grigsby-Roshell,5
candidate,Addison Gray Davis,47
candidate,Adela Villers,18
candidate,Adell Dobey,17
candidate,Adrian Fontes,724
candidate,Adrian H Cline,15
candidate,Adrian J. Polite,2
candidate,Adrienne Clemente Haylor,16
candidate,Aerial Nicely,12
candidate,Affidavit,208
candidate,Against,9873
candidate,Against Bonds,10
candidate,Against Issue No 1,92
candidate,Against Issue No 2,92
candidate,Against Issue No 3,92
candidate,Against Issue No 6,92
candidate,Against The Bonds,45
candidate,Against removal,3
candidate,Against the formation of a metropolitan park district,35
candidate,Agnes C. Filkins,4
candidate,Ahmed Samaha,18
candidate,Aimee LINGLE,4
candidate,Aimee M. Gardiner,6
candidate,Aimee M. Grace,1
candidate,"Akili """"Gil"""" West",3
candidate,Akin Akinyemi,153
candidate,Al BOTTS,7
candidate,Al Bozard,17
candidate,Al Burkett,4
candidate,Al Cannon,187
candidate,Al DALY,14
candidate,Al Duffy,23
candidate,Al Emanuelli,9
candidate,Al Montoya,5
candidate,Al PAGE,10
candidate,Al Rentz,18
candidate,Al Ron Gonzalez,16
candidate,Al Shilling,124
candidate,Al Smith,30
candidate,Alabama Democratic Party,2161
candidate,Alabama Republican Party,2161
candidate,Alain Capucci,16
candidate,"Alan """"Al"""" NESTERUK",2
candidate,Alan BIRCH,1
candidate,Alan Baggett,23
candidate,Alan Beck,158
candidate,Alan Duncan,676
candidate,Alan F Hamisch,57
